LR,Heads,Embeddings,Block Size,Batch Size,Layers,Step,Training Loss,Validation Loss,Accumulated Time Sec
0.0006,12,768,128,48,6,7500,0.0879,4.4603,3256.4269330501556
0.0006,12,768,128,48,6,7600,0.0882,4.5852,3298.707566022873
0.0006,12,768,128,48,6,7700,0.0872,4.5090,3341.015959262848
0.0006,12,768,128,48,6,7800,0.0870,4.5129,3383.2806148529053
0.0006,12,768,128,48,6,7900,0.0870,4.6001,3425.5710077285767
0.0006,12,768,128,48,6,8000,0.0872,4.5270,3467.844629764557
0.0006,12,768,128,48,6,8100,0.0867,4.6414,3510.1707239151
0.0006,12,768,128,48,6,8200,0.0871,4.5491,3552.5008800029755
0.0006,12,768,128,48,6,8300,0.0861,4.5278,3594.831426382065
0.0006,12,768,128,48,6,8400,0.0863,4.6164,3637.097254514694
0.0006,12,768,128,48,6,8500,0.0861,4.5129,3679.4131031036377
0.0006,12,768,128,48,6,8600,0.0858,4.6181,3721.6753866672516
0.0006,12,768,128,48,6,8700,0.0861,4.6551,3763.989064693451
0.0006,12,768,128,48,6,8800,0.0855,4.6569,3806.340360403061
0.0006,12,768,128,48,6,8900,0.0852,4.7135,3848.6222105026245
0.0006,12,768,128,48,6,9000,0.0854,4.6215,3890.928029537201
0.0006,12,768,128,48,6,9100,0.0855,4.7074,3933.2282910346985
0.0006,12,768,128,48,6,9200,0.0854,4.7303,3975.500363588333
0.0006,12,768,128,48,6,9300,0.0852,4.7255,4017.7582383155823
0.0006,12,768,128,48,6,9400,0.0845,4.6863,4060.037406206131
0.0006,12,768,128,48,6,9500,0.0847,4.7232,4102.34582400322
0.0006,12,768,128,48,6,9600,0.0847,4.6966,4144.612881422043
0.0006,12,768,128,48,6,9700,0.0850,4.7279,4186.8964149951935
0.0006,12,768,128,48,6,9800,0.0847,4.7328,4229.1936647892
0.0006,12,768,128,48,6,9900,0.0847,4.7664,4271.483476161957
0.0006,12,768,128,64,4,0,4.5933,4.5880,19.916279077529907
0.0006,12,768,128,64,4,100,2.4490,2.5431,56.646281480789185
0.0006,12,768,128,64,4,200,2.0115,2.1911,93.38059949874878
0.0006,12,768,128,64,4,300,1.6352,1.9087,130.06328201293945
0.0006,12,768,128,64,4,400,1.4047,1.7990,166.80892610549927
0.0006,12,768,128,64,4,500,1.2234,1.7621,203.62223482131958
0.0006,12,768,128,64,4,600,1.0729,1.7782,240.68841576576233
0.0006,12,768,128,64,4,700,0.9071,1.8152,277.75960397720337
0.0006,12,768,128,64,4,800,0.7602,1.9552,314.9259991645813
0.0006,12,768,128,64,4,900,0.6117,2.0271,352.17439699172974
0.0006,12,768,128,64,4,1000,0.4687,2.1728,389.37845969200134
0.0006,12,768,128,64,4,1100,0.3529,2.3960,426.6133646965027
0.0006,12,768,128,64,4,1200,0.2704,2.5462,463.84221625328064
0.0006,12,768,128,64,4,1300,0.2113,2.7037,501.0596477985382
0.0006,12,768,128,64,4,1400,0.1765,2.8803,538.3001911640167
0.0006,12,768,128,64,4,1500,0.1554,2.9857,575.5426619052887
0.0006,12,768,128,64,4,1600,0.1421,3.0608,612.4850099086761
0.0006,12,768,128,64,4,1700,0.1321,3.2424,649.3367865085602
0.0006,12,768,128,64,4,1800,0.1229,3.3471,686.1126852035522
0.0006,12,768,128,64,4,1900,0.1205,3.3620,722.8785648345947
0.0006,12,768,128,64,4,2000,0.1154,3.4096,759.6756544113159
0.0006,12,768,128,64,4,2100,0.1137,3.5026,796.3931927680969
0.0006,12,768,128,64,4,2200,0.1108,3.5787,833.1253311634064
0.0006,12,768,128,64,4,2300,0.1080,3.5964,869.8788685798645
0.0006,12,768,128,64,4,2400,0.1087,3.6188,906.6171967983246
0.0006,12,768,128,64,4,2500,0.1051,3.6401,943.3372232913971
0.0006,12,768,128,64,4,2600,0.1036,3.7453,980.0369758605957
0.0006,12,768,128,64,4,2700,0.1030,3.7696,1016.7405083179474
0.0006,12,768,128,64,4,2800,0.1022,3.7862,1053.4553587436676
0.0006,12,768,128,64,4,2900,0.1001,3.8743,1090.1996440887451
0.0006,12,768,128,64,4,3000,0.0994,3.8462,1126.9444978237152
0.0006,12,768,128,64,4,3100,0.0992,3.8823,1163.639259338379
0.0006,12,768,128,64,4,3200,0.0982,3.9485,1200.2976841926575
0.0006,12,768,128,64,4,3300,0.0967,3.9835,1236.9718225002289
0.0006,12,768,128,64,4,3400,0.0974,3.9789,1273.728667974472
0.0006,12,768,128,64,4,3500,0.0960,4.0500,1310.434487581253
0.0006,12,768,128,64,4,3600,0.0963,4.0158,1347.1304006576538
0.0006,12,768,128,64,4,3700,0.0950,4.0759,1383.829217672348
0.0006,12,768,128,64,4,3800,0.0943,4.0513,1420.5173542499542
0.0006,12,768,128,64,4,3900,0.0943,4.1286,1457.194768190384
0.0006,12,768,128,64,4,4000,0.0936,4.1410,1493.9196462631226
0.0006,12,768,128,64,4,4100,0.0942,4.1679,1530.6041493415833
0.0006,12,768,128,64,4,4200,0.0929,4.1001,1567.2704243659973
0.0006,12,768,128,64,4,4300,0.0927,4.1887,1603.94770860672
0.0006,12,768,128,64,4,4400,0.0928,4.2033,1640.623479604721
0.0006,12,768,128,64,4,4500,0.0918,4.1666,1677.322252035141
0.0006,12,768,128,64,4,4600,0.0916,4.2302,1713.9950222969055
0.0006,12,768,128,64,4,4700,0.0916,4.2296,1750.659681558609
0.0006,12,768,128,64,4,4800,0.0908,4.3184,1787.3413531780243
0.0006,12,768,128,64,4,4900,0.0907,4.2956,1824.0263228416443
0.0006,12,768,128,64,4,5000,0.0910,4.3278,1860.686366558075
0.0006,12,768,128,64,4,5100,0.0906,4.3180,1897.5057196617126
0.0006,12,768,128,64,4,5200,0.0901,4.2455,1934.6601178646088
0.0006,12,768,128,64,4,5300,0.0900,4.3410,1971.7425956726074
0.0006,12,768,128,64,4,5400,0.0901,4.3815,2008.4678423404694
0.0006,12,768,128,64,4,5500,0.0897,4.2991,2045.1424136161804
0.0006,12,768,128,64,4,5600,0.0890,4.3625,2081.8355844020844
0.0006,12,768,128,64,4,5700,0.0882,4.3779,2118.4721982479095
0.0006,12,768,128,64,4,5800,0.0886,4.4140,2155.1684584617615
0.0006,12,768,128,64,4,5900,0.0886,4.4669,2191.844715118408
0.0006,12,768,128,64,4,6000,0.0879,4.4240,2228.503908634186
0.0006,12,768,128,64,4,6100,0.0875,4.4847,2265.1577565670013
0.0006,12,768,128,64,4,6200,0.0878,4.3882,2301.808914899826
0.0006,12,768,128,64,4,6300,0.0874,4.5660,2338.4934129714966
0.0006,12,768,128,64,4,6400,0.0871,4.4899,2375.173668384552
0.0006,12,768,128,64,4,6500,0.0868,4.5635,2411.869542360306
0.0006,12,768,128,64,4,6600,0.0868,4.5048,2448.5481371879578
0.0006,12,768,128,64,4,6700,0.0865,4.5249,2485.2133548259735
0.0006,12,768,128,64,4,6800,0.0863,4.5685,2521.8850071430206
0.0006,12,768,128,64,4,6900,0.0864,4.6011,2558.5162122249603
0.0006,12,768,128,64,4,7000,0.0862,4.5624,2595.171063899994
0.0006,12,768,128,64,4,7100,0.0860,4.6216,2631.83776307106
0.0006,12,768,128,64,4,7200,0.0860,4.6329,2668.486783027649
0.0006,12,768,128,64,4,7300,0.0858,4.5620,2705.1082484722137
0.0006,12,768,128,64,4,7400,0.0864,4.6010,2741.7718210220337
0.0006,12,768,128,64,4,7500,0.0852,4.6658,2778.4395430088043
0.0006,12,768,128,64,4,7600,0.0858,4.5844,2815.1240627765656
0.0006,12,768,128,64,4,7700,0.0847,4.7346,2851.738142490387
0.0006,12,768,128,64,4,7800,0.0852,4.6771,2888.4045197963715
0.0006,12,768,128,64,4,7900,0.0852,4.6631,2925.05331492424
0.0006,12,768,128,64,4,8000,0.0848,4.6873,2961.6767342090607
0.0006,12,768,128,64,4,8100,0.0846,4.7311,2998.330506324768
0.0006,12,768,128,64,4,8200,0.0839,4.7338,3034.9445128440857
0.0006,12,768,128,64,4,8300,0.0846,4.7422,3071.62895655632
0.0006,12,768,128,64,4,8400,0.0845,4.7728,3108.2571058273315
0.0006,12,768,128,64,4,8500,0.0845,4.7564,3144.9395015239716
0.0006,12,768,128,64,4,8600,0.0836,4.7770,3181.5751388072968
0.0006,12,768,128,64,4,8700,0.0838,4.7595,3218.2048971652985
0.0006,12,768,128,64,4,8800,0.0840,4.7716,3254.860560655594
0.0006,12,768,128,64,4,8900,0.0839,4.7908,3291.4743795394897
0.0006,12,768,128,64,4,9000,0.0837,4.7693,3328.1304104328156
0.0006,12,768,128,64,4,9100,0.0831,4.8459,3364.76474404335
0.0006,12,768,128,64,4,9200,0.0828,4.7949,3401.4311220645905
0.0006,12,768,128,64,4,9300,0.0836,4.8467,3438.0537371635437
0.0006,12,768,128,64,4,9400,0.0824,4.8813,3474.6738243103027
0.0006,12,768,128,64,4,9500,0.0833,4.8066,3511.327959060669
0.0006,12,768,128,64,4,9600,0.0832,4.9265,3547.9568371772766
0.0006,12,768,128,64,4,9700,0.0827,4.9207,3584.6138033866882
0.0006,12,768,128,64,4,9800,0.0831,4.8894,3621.218910217285
0.0006,12,768,128,64,4,9900,0.0826,4.8811,3657.888897418976
0.0003,12,768,128,48,6,0,4.6310,4.6257,22.730262517929077
0.0003,12,768,128,48,6,100,2.4703,2.5568,65.13190841674805
0.0003,12,768,128,48,6,200,2.2646,2.3876,107.46780681610107
0.0003,12,768,128,48,6,300,1.8672,2.0623,149.8352870941162
0.0003,12,768,128,48,6,400,1.6077,1.8827,192.2313027381897
0.0003,12,768,128,48,6,500,1.4358,1.7997,234.58519625663757
0.0003,12,768,128,48,6,600,1.2961,1.7757,276.9237425327301
0.0003,12,768,128,48,6,700,1.1766,1.7674,319.27127981185913
0.0003,12,768,128,48,6,800,1.0580,1.7772,361.6605966091156
0.0003,12,768,128,48,6,900,0.9429,1.8280,404.02473306655884
0.0003,12,768,128,48,6,1000,0.8228,1.8907,446.3977062702179
0.0003,12,768,128,48,6,1100,0.7071,1.9565,488.7056694030762
0.0003,12,768,128,48,6,1200,0.5895,2.0439,531.074355840683
0.0003,12,768,128,48,6,1300,0.4808,2.1720,573.4207935333252
0.0003,12,768,128,48,6,1400,0.3911,2.3064,615.7481806278229
0.0003,12,768,128,48,6,1500,0.3163,2.4249,658.1589541435242
0.0003,12,768,128,48,6,1600,0.2574,2.5417,700.51340508461
0.0003,12,768,128,48,6,1700,0.2102,2.6629,742.8881590366364
0.0003,12,768,128,48,6,1800,0.1843,2.8076,785.2765035629272
0.0003,12,768,128,48,6,1900,0.1648,2.9141,827.6326637268066
0.0003,12,768,128,48,6,2000,0.1510,2.9741,870.0202531814575
0.0003,12,768,128,48,6,2100,0.1417,3.0898,912.4068698883057
0.0003,12,768,128,48,6,2200,0.1326,3.1800,954.7833733558655
0.0003,12,768,128,48,6,2300,0.1286,3.2198,997.1242978572845
0.0003,12,768,128,48,6,2400,0.1251,3.3131,1039.449584722519
0.0003,12,768,128,48,6,2500,0.1229,3.3408,1081.7707076072693
0.0003,12,768,128,48,6,2600,0.1179,3.4231,1124.13436627388
0.0003,12,768,128,48,6,2700,0.1163,3.5424,1166.4779546260834
0.0003,12,768,128,48,6,2800,0.1137,3.5803,1208.8055939674377
0.0003,12,768,128,48,6,2900,0.1125,3.5756,1251.1699628829956
0.0003,12,768,128,48,6,3000,0.1111,3.6041,1293.472116947174
0.0003,12,768,128,48,6,3100,0.1094,3.6850,1335.7717740535736
0.0003,12,768,128,48,6,3200,0.1083,3.7215,1378.1185111999512
0.0003,12,768,128,48,6,3300,0.1068,3.7450,1420.4533836841583
0.0003,12,768,128,48,6,3400,0.1062,3.7338,1462.8041195869446
0.0003,12,768,128,48,6,3500,0.1037,3.8185,1505.1246304512024
0.0003,12,768,128,48,6,3600,0.1039,3.7885,1547.5116262435913
0.0003,12,768,128,48,6,3700,0.1036,3.8587,1589.871559381485
0.0003,12,768,128,48,6,3800,0.1030,3.9179,1632.1983089447021
0.0003,12,768,128,48,6,3900,0.1030,3.9127,1674.549348115921
0.0003,12,768,128,48,6,4000,0.1017,3.9051,1716.9061379432678
0.0003,12,768,128,48,6,4100,0.1001,3.9796,1759.2279188632965
0.0003,12,768,128,48,6,4200,0.1014,3.9079,1801.5361778736115
0.0003,12,768,128,48,6,4300,0.0996,3.9218,1843.9233767986298
0.0003,12,768,128,48,6,4400,0.0987,4.0448,1886.2527058124542
0.0003,12,768,128,48,6,4500,0.0977,4.0648,1928.5740005970001
0.0003,12,768,128,48,6,4600,0.0974,4.0404,1970.8970093727112
0.0003,12,768,128,48,6,4700,0.0974,3.9839,2013.2158463001251
0.0003,12,768,128,48,6,4800,0.0969,4.0567,2055.5744965076447
0.0003,12,768,128,48,6,4900,0.0970,4.1202,2097.90137219429
0.0003,12,768,128,48,6,5000,0.0965,4.0233,2140.253701686859
0.0003,12,768,128,48,6,5100,0.0952,4.1023,2182.543709039688
0.0003,12,768,128,48,6,5200,0.0951,4.1487,2224.848879098892
0.0003,12,768,128,48,6,5300,0.0946,4.1178,2267.1534633636475
0.0003,12,768,128,48,6,5400,0.0949,4.1385,2309.4715015888214
0.0003,12,768,128,48,6,5500,0.0955,4.1506,2351.760068178177
0.0003,12,768,128,48,6,5600,0.0943,4.1754,2394.0557186603546
0.0003,12,768,128,48,6,5700,0.0947,4.1979,2436.4133384227753
0.0003,12,768,128,48,6,5800,0.0929,4.2375,2478.6866462230682
0.0003,12,768,128,48,6,5900,0.0932,4.2431,2520.9972932338715
0.0003,12,768,128,48,6,6000,0.0935,4.1785,2563.2711000442505
0.0003,12,768,128,48,6,6100,0.0925,4.2291,2605.5606396198273
0.0003,12,768,128,48,6,6200,0.0921,4.3061,2647.8722012043
0.0003,12,768,128,48,6,6300,0.0918,4.2332,2690.1639206409454
0.0003,12,768,128,48,6,6400,0.0910,4.2885,2732.487860918045
0.0003,12,768,128,48,6,6500,0.0915,4.3092,2774.816819667816
0.0003,12,768,128,48,6,6600,0.0907,4.3393,2817.1058304309845
0.0003,12,768,128,48,6,6700,0.0909,4.3373,2859.362824201584
0.0003,12,768,128,48,6,6800,0.0906,4.2699,2901.646812438965
0.0003,12,768,128,48,6,6900,0.0905,4.3044,2943.930934906006
0.0003,12,768,128,48,6,7000,0.0904,4.3487,2986.2051906585693
0.0003,12,768,128,48,6,7100,0.0900,4.3558,3028.6034169197083
0.0003,12,768,128,48,6,7200,0.0899,4.3853,3070.8884534835815
0.0003,12,768,128,48,6,7300,0.0894,4.3886,3113.179340362549
0.0003,12,768,128,48,6,7400,0.0891,4.3556,3155.459354877472
0.0003,12,768,128,48,6,7500,0.0894,4.4705,3197.711575984955
0.0003,12,768,128,48,6,7600,0.0892,4.3572,3240.010542869568
0.0003,12,768,128,48,6,7700,0.0891,4.3874,3282.2762773036957
0.0003,12,768,128,48,6,7800,0.0885,4.4619,3324.5159080028534
0.0003,12,768,128,48,6,7900,0.0887,4.4476,3366.818583726883
0.0003,12,768,128,48,6,8000,0.0885,4.4880,3409.092418909073
0.0003,12,768,128,48,6,8100,0.0878,4.4347,3451.3555340766907
0.0003,12,768,128,48,6,8200,0.0872,4.5018,3493.650363922119
0.0003,12,768,128,48,6,8300,0.0883,4.4631,3535.919932126999
0.0003,12,768,128,48,6,8400,0.0876,4.5165,3578.173327445984
0.0003,12,768,128,48,6,8500,0.0872,4.5514,3620.4306650161743
0.0003,12,768,128,48,6,8600,0.0871,4.4284,3662.7190754413605
0.0003,12,768,128,48,6,8700,0.0869,4.5016,3704.995833158493
0.0003,12,768,128,48,6,8800,0.0864,4.5242,3747.2614731788635
0.0003,12,768,128,48,6,8900,0.0867,4.5512,3789.5185058116913
0.0003,12,768,128,48,6,9000,0.0867,4.5729,3831.7690484523773
0.0003,12,768,128,48,6,9100,0.0866,4.5217,3874.0370643138885
0.0003,12,768,128,48,6,9200,0.0868,4.5178,3916.274721622467
0.0003,12,768,128,48,6,9300,0.0862,4.5667,3958.5894372463226
0.0003,12,768,128,48,6,9400,0.0858,4.6029,4000.8346803188324
